experiment,R_GLCptspp,R_PGI_fwd,R_PFK,R_FBA_fwd,R_TPI_fwd,R_PGK_rev,R_GAPD_fwd,R_ENO_fwd,R_PGM_rev,R_PYK,R_PDH,R_G6PDH2r_fwd,R_PGL,R_GND,R_RPE_fwd,R_RPI_rev,R_TKT1_fwd,R_TALA_fwd,R_TKT2_fwd,R_CS,R_ACONTb_fwd,R_ACONTa_fwd,R_ICDHyr_fwd,R_SUCOAS_rev,R_AKGDH,R_SUCDi,R_FUM_fwd,R_MDH_fwd,R_PPC,R_ME2,R_ICL,R_MALS,R_ACKr_rev,R_PTAr_fwd,R_LDH_D_rev,R_ACALD_rev,R_ALCD2x_rev,R_EX_glc__D_e_rev,R_EX_o2_e_rev,R_EX_co2_e_fwd,R_EX_etoh_e,R_EX_ac_e,R_EX_lac__D_e,R_EX_succ_e,R_EX_pyr_e,R_EX_for_e,R_BIOMASS_Ec_iAF1260_core_59p81M
REF,2.9299999999999957,2.2342797650000654,2.499289999999996,2.499289999999996,2.4958927883333657,5.14703258833338,5.147032588333379,4.803465688333411,4.80346568833341,1.1018529966666455,3.442084396666635,0.6957202349999302,0.6957202349999302,0.6957202349999303,0.3086822233332998,0.37907721166663116,0.1924084116666499,0.16763402333328062,0.11627381166664987,1.2593628300001136,1.2593628300001136,1.2593628300001136,1.2593628300001134,1.83125,1.0305439383333452,2.2707499999999983,1.239102338333305,1.239102338333305,0.605825091666766,0.0,2.392735720820737e-19,0.0,1.4330591666665253,1.433059166666525,-0.0,-0.0,-0.0,2.929999999999996,5.789999999999983,6.203023608333272,0.0,1.5494963666665253,0.0,0.0,0.0,3.4345751322983837e-20,0.2
WT_0.1h-1,2.028046084469709,1.4191048594697036,1.0720000000000003,1.072,1.7239654428030362,3.6125814272727395,3.6125814272727395,3.4407979772727297,3.4407979772727297,0.4036157916666516,2.766997577272733,0.6089412250000051,0.6089412250000051,0.6089412250000052,0.3283951833333332,0.27656564166667214,0.1832312416666666,0.1474000000000005,0.14516394166666657,0.10751919999999995,0.10751919999999995,0.10751919999999995,0.10751919999999994,0.6432,0.0,0.9915999999999999,0.10427920000001163,0.1042792000000116,0.2960223,0.0,0.0,0.0,2.284647177272731,2.2846471772727304,-0.0,-0.0,-0.0,2.0280460844697092,3.164407102272749,3.3780043522727365,0.0,2.3428657772727304,0.0,0.0,0.0,0.0,0.1
WT_0.4h-1,5.768804855555415,3.8127791222221448,3.9895,3.9895,4.712395344444383,9.923479799999853,9.923479799999853,9.236345999999873,9.236345999999873,1.2625000000000002,6.541144399999856,1.9560257333332702,1.9560257333332705,1.956025733333271,0.9937546222221889,0.9463495111110823,0.5730119111110944,0.48315011111112105,0.4207427111110944,1.389555133333442,1.3895551333334417,1.3895551333334417,1.3895551333334417,3.0300000000000002,0.9594783333334419,3.0300000000000002,1.376595133333415,1.3765951333334139,1.1840891999999998,0.0,0.0,0.0,3.652264466666377,3.6522644666663764,-0.0,-0.0,-0.0,5.768804855555416,9.569999999999993,10.424389000000021,0.0,3.885138866666376,0.0,0.0,0.0,0.0,0.4
WT_0.5h-1,6.629999999999998,5.403791399999804,5.7681,5.7681,5.715762633333242,11.648612133333199,11.648612133333197,10.789081633333142,10.789081633333142,1.4648965916667562,6.4917015916667555,1.226208600000194,1.2262086000001942,1.2262086000001942,0.42964423333343627,0.7766623666667575,0.3099903666667182,0.291898733333478,0.11965386666671801,4.173977799999723,4.1739777999996805,4.1739777999996805,4.1739777999996805,4.176900000000003,2.8367772583332993,4.1769,3.3581732583333745,3.3581732583333745,2.2797160416663886,0.0,-2.6549316963187403e-18,0.0,0.42234129166703155,0.42234129166703144,-0.0,0.14999999999999877,0.14999999999999877,6.629999999999998,13.05,13.402405708333514,0.14999999999999877,0.7134342916670314,0.0,0.0,0.0,0.12999999999999853,0.5
WT_0.7h-1,9.999999999999998,6.213618002692231,8.128771634230773,8.128771634230773,8.030171034230786,17.054160334230826,17.054160334230826,15.850817634230873,15.850817634230872,3.1984049342308887,11.055931934230896,3.7863819973077666,3.786381997307767,3.7863819973077675,1.9812952315385424,1.7772239657692261,1.1238831657692705,1.1238831657692705,0.8574120657692718,1.7041890053843982,1.704189005384398,1.704189005384398,1.704189005384398,11.072200000000002,0.9515546053844006,11.072199999999999,1.6815090053843311,1.6815090053843313,2.0721560999999866,0.0,0.0,0.0,6.806207428846499,6.806207428846499,-0.0,-0.0,-0.0,10.0,15.305559792307415,16.760740542307474,0.0,7.213737628846497,0.0,0.0,0.0,0.07999999999999906,0.7
galM,3.039999999999999,2.5940361487999977,2.4624,2.4624,2.6891449162666663,5.450284716266666,5.450284716266666,5.1067178162666655,5.1067178162666655,0.4796172744000016,3.0756089069333314,0.44596385120000054,0.4459638512000006,0.44596385120000054,0.14217796746666744,0.2958250837333331,0.10915628373333373,0.0,0.03302168373333371,2.4423837069333314,1.7588755976000001,1.7588755976000001,1.7588755976000001,1.6112000000000002,1.5438371976,2.4016,1.7523955975999983,1.7523955975999983,1.2755527093333325,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,3.0399999999999996,15.53,5.929870144000001,0.0,0.0,0.0,0.0,0.0,0.0,0.2
glk,3.140000000000001,2.219072675384611,2.6589953584615387,2.6589953584615387,2.6308237584615397,5.491963558461543,5.491963558461543,5.148396658461546,5.148396658461546,1.2505644584615494,3.800795858461547,0.9209273246153896,0.9209273246153897,0.9209273246153896,0.45882028307692724,0.4541462415384608,0.2674774415384636,0.26747744153846365,0.1913428415384636,0.808948650769221,0.8089486507692208,0.808948650769221,0.8089486507692207,2.606199999999999,0.5939102507692208,2.8574,0.802468650769216,0.8024686507692161,0.5920445999999998,0.0,0.0,0.0,2.2421848076923268,2.2421848076923268,-0.0,-0.0,-0.0,3.140000000000001,5.4864802846153715,5.913674784615382,0.0,2.3586220076923263,0.0,0.0,0.0,0.0,0.2
pgm,3.06,2.392300914285701,2.6316,2.6316000000000006,2.635233171428564,5.416372971428562,5.416372971428562,5.07280607142856,5.07280607142856,1.0947913000000016,3.562243900000001,0.667699085714299,0.6676990857142989,0.6676990857142983,0.2900014571428644,0.369736828571434,0.18306802857143217,0.15126325714286745,0.10693342857143219,1.3181839285714076,1.3181839285714074,1.3181839285714074,1.3181839285714074,2.2644000000000006,0.9429629571428505,2.601000000000001,1.1515213571428515,1.1515213571428515,0.7522271714285595,0.0,0.0,0.0,1.3684214285714689,1.3684214285714686,-0.0,0.12597614285712394,-0.0,3.06,5.79,6.12,0.0,1.4848586285714687,0.0,0.0,0.0,0.0,0.2
pgi,3.4324558053030345,2.214573355303029,1.041968416666671,1.041968416666671,2.824294521969696,5.977890127272726,5.977890127272725,5.634323227272728,5.634323227272727,0.0,4.286722427272725,1.2178824500000005,1.2178824500000005,1.2178824500000005,0.6567903666666668,0.553131283333333,0.36646248333333337,0.0,0.2903278833333333,0.2150384000000001,0.21503840000000007,0.21503840000000007,0.21503840000000005,0.9009000000000001,0.0,1.5834,0.20855839999999753,0.2085583999999976,0.5920446000000009,0.0,0.0,0.0,3.3220216272727274,3.322021627272727,-0.0,-0.0,-0.0,3.4324558053030354,5.081541477272722,5.508735977272726,0.0,3.438458827272727,0.0,0.0,0.0,0.0,0.2
pfkA,2.7199999999999998,2.372517550000006,2.3664,2.3664,2.4019720500000066,4.843111850000013,4.843111850000013,4.499544950000022,4.499544950000022,0.7634880541095884,2.8937194541095885,0.3474824499999938,0.3474824499999938,0.3474824499999938,0.07652370000000012,0.2629979499999936,0.07632915000000008,0.01258549999999403,0.0001945500000001209,2.2450172013698704,1.971315452739718,1.971315452739718,1.9558384,1.7408000000000001,1.7408000000000001,1.9856,1.9648354527397065,1.980312505479424,0.8502692958904339,0.0,0.0154770527397177,0.0154770527397177,-0.0,0.0,-0.0,-0.0,-0.0,2.72,9.56,6.468708308219151,0.0,0.0,0.0,0.0,0.0,0.0,0.2
