experiment,R_GLCptspp,R_PGI_fwd,R_PFK,R_FBA_fwd,R_TPI_fwd,R_PGK_rev,R_GAPD_fwd,R_ENO_fwd,R_PGM_rev,R_PYK,R_PDH,R_G6PDH2r_fwd,R_PGL,R_GND,R_RPE_fwd,R_RPI_rev,R_TKT1_fwd,R_TALA_fwd,R_TKT2_fwd,R_CS,R_ACONTb_fwd,R_ACONTa_fwd,R_ICDHyr_fwd,R_SUCOAS_rev,R_AKGDH,R_SUCDi,R_FUM_fwd,R_MDH_fwd,R_PPC,R_ME2,R_ICL,R_MALS,R_ACKr_rev,R_PTAr_fwd,R_LDH_D_rev,R_ACALD_rev,R_ALCD2x_rev,R_EX_glc__D_e_rev,R_EX_o2_e_rev,R_EX_co2_e_fwd,R_EX_etoh_e,R_EX_ac_e,R_EX_lac__D_e,R_EX_succ_e,R_EX_pyr_e,R_EX_for_e,R_BIOMASS_Ec_iAF1260_core_59p81M
REF,2.9299999999999997,2.2342797650000445,2.4992899999999993,2.49929,2.4958927883333564,5.14703258833338,5.14703258833338,4.803465688333384,4.803465688333383,1.1018529966666446,3.442084396666672,0.6957202349999545,0.6957202349999545,0.6957202349999545,0.308682223333311,0.37907721166664343,0.19240841166665454,0.16763402333329797,0.11627381166665647,1.2593628300000637,1.2593628300000637,1.2593628300000637,1.2593628300000637,1.83125,1.0305439383333148,2.27075,1.2391023383333137,1.2391023383333137,0.6058250916667436,0.0,0.0,0.0,1.4330591666665882,1.433059166666588,-0.0,-0.0,-0.0,2.9299999999999997,5.79,6.203023608333222,0.0,1.549496366666588,0.0,0.0,0.0,0.0,0.2
WT_0.4h-1,5.554999999999997,3.8160684276922727,3.9895,3.9895,4.570955209230773,9.568234809230795,9.568234809230793,8.881101009230834,8.881101009230832,1.2625000000000002,6.185899409230821,1.738931572307724,1.738931572307724,1.738931572307724,0.8490251815385025,0.8739847907692215,0.5006471907692512,0.41078539076932047,0.34837799076925124,1.8237434553845162,1.823743455384516,1.823743455384516,1.823743455384516,3.03,1.3936666553845163,3.0300000000000167,1.8107834553844653,1.8107834553844653,1.1840891999999947,0.0,0.0,0.0,2.8628311538463054,2.862831153846305,-0.0,-0.0,-0.0,5.554999999999998,9.866037492307525,10.720426492307594,0.0,3.0957055538463045,0.0,0.0,0.0,0.0,0.4
WT_0.5h-1,6.629999999999998,5.403791400000092,5.768100000000004,5.768100000000003,5.715762633333382,11.648612133333403,11.648612133333403,10.78908163333343,10.78908163333343,1.4648965916666177,6.49170159166661,1.226208599999906,1.226208599999906,1.226208599999906,0.4296442333332852,0.77666236666662,0.30999036666664265,0.29189873333326843,0.11965386666664259,4.173977800000159,4.173977800000159,4.173977800000159,4.173977800000159,4.176900000000002,2.836777258333346,4.1768999999999945,3.3581732583333044,3.3581732583333044,2.2797160416668154,0.0,0.0,0.0,0.4223412916664646,0.42234129166646456,-0.0,0.1499999999999856,0.1499999999999856,6.629999999999999,13.05,13.402405708333223,0.14999999999998562,0.7134342916664663,0.0,0.0,0.0,0.13,0.5
galM,3.039999999999999,2.5940361487999883,2.4623999999999997,2.4624,2.689144916266677,5.450284716266701,5.4502847162667,5.106717816266725,5.106717816266725,0.4796172744000067,3.0756089069333385,0.44596385120001053,0.4459638512000104,0.4459638512000105,0.14217796746668823,0.29582508373332217,0.10915628373334414,0.0,0.0330216837333441,2.4423837069333416,1.7588755975999761,1.7588755975999761,1.7588755975999757,1.6112000000000002,1.5438371975999754,2.4016,1.7523955975999403,1.752395597599929,1.2755527093333856,0.0,0.0,0.0,-0.0,0.0,-0.0,1.811869000322228e-18,-0.0,3.0399999999999996,15.53,5.929870143999929,0.0,0.0,0.0,0.0,0.0,0.0,0.2
glk,3.139999999999996,2.2190726753846453,2.658995358461545,2.658995358461545,2.630823758461546,5.4919635584615225,5.4919635584615225,5.148396658461516,5.1483966584615155,1.2505644584615085,3.8007958584614805,0.9209273246153505,0.9209273246153505,0.9209273246153624,0.4588202830768995,0.4541462415384666,0.2674774415384501,0.2674774415384501,0.19134284153844935,0.8089486507693175,0.8089486507693174,0.8089486507693174,0.8089486507693173,2.6062000000000016,0.5939102507693175,2.8574000000001387,0.8024686507693253,0.8024686507693067,0.5920446000000101,0.0,0.0,-1.0308086133352286e-14,2.242184807692185,2.2421848076921846,-0.0,-1.1292781626115497e-15,-0.0,3.1399999999999966,5.48648028461545,5.9136747846154565,0.0,2.358622007692185,0.0,0.0,0.0,0.0,0.2
pgm,3.0600000000000014,2.392300914285772,2.6316000000000006,2.6316000000000006,2.635233171428603,5.416372971428618,5.4163729714286175,5.072806071428638,5.072806071428637,1.0947912999999974,3.5622438999999946,0.6676990857142283,0.6676990857142283,0.6676990857142283,0.2900014571428283,0.36973682857140006,0.18306802857141422,0.15126325714281488,0.10693342857141419,1.3181839285715253,1.318183928571525,1.3181839285715253,1.318183928571525,2.264400000000002,0.9429629571428875,2.6010000000000355,1.1515213571428586,1.1515213571428586,0.7522271714286395,0.0,0.0,0.0,1.3684214285712597,1.3684214285712597,-0.0,0.1259761428572134,-0.0,3.0600000000000014,5.790000000000002,6.12,0.0,1.4848586285712595,0.0,0.0,0.0,0.0,0.2
pfkA,2.7199999999999998,2.3725175499999875,2.3663999999999974,2.3663999999999974,2.4019720499999866,4.843111849999971,4.84311184999997,4.499544949999949,4.499544949999949,0.7634880541096015,2.8937194541096014,0.34748245000001177,0.3474824500000117,0.34748245000001177,0.0765236999999974,0.2629979500000144,0.07632914999999871,0.012585500000011128,0.00019454999999870236,2.245017201369849,1.9713154527397518,1.971315452739752,1.955838399999999,1.7407999999999995,1.7407999999999995,1.9856000000000118,1.9648354527397809,1.9803125054795332,0.850269295890346,0.0,0.0154770527397523,0.0154770527397523,-0.0,0.0,-0.0,-0.0,-0.0,2.72,9.56,6.468708308219259,0.0,0.0,0.0,0.0,0.0,0.0,0.2
pfkB,2.891902427777848,2.2228895611111295,2.1868,2.1868,2.466697672222264,5.0797399000000985,5.079739900000098,4.736173000000077,4.736173000000077,0.7783690999999628,3.388572200000075,0.669012866666718,0.6690128666667181,0.669012866666718,0.2908773111111358,0.37017475555558227,0.18350595555556792,0.1835059555555679,0.10737135555556787,1.31277756666659,1.31277756666659,1.31277756666659,1.3127775666665897,1.2211999999999996,1.09773916666659,1.9312,1.3062975666666163,1.3062975666666166,0.5920446000000011,0.0,0.0,0.0,1.3261322333334846,1.3261322333334844,-0.0,2.0861911869808605e-33,-0.0,2.891902427777848,5.829999999999999,6.257194499999969,0.0,1.4425694333334849,0.0,0.0,0.0,1.3738300529193535e-19,0.2
fbp,2.769124650000193,2.224778450000067,2.349,2.349,2.3854754500001643,4.875739900000306,4.875739900000305,4.5321730000002525,4.532173000000253,1.005216150000056,3.184572200000186,0.5443462000001267,0.5443462000001267,0.5443462000001817,0.20776620000009796,0.328619200000084,0.14195040000004902,0.07730334999988685,0.06581580000004898,1.5621108999997904,1.56211089999979,1.56211089999979,1.5621108999997995,1.2420808999998,1.3470724999997998,1.9709999999999832,1.5556308999998731,1.5556308999998731,0.5920445999999904,0.0,-9.391813263946924e-15,0.0,0.8727989000003988,0.8727989000003987,-0.0,1.3817978419764161e-15,-0.0,2.7691246500001947,6.0,6.427194499999988,0.0,0.9892361000003986,0.0,0.0,0.0,0.0,0.2
fbaB,2.759999999999999,2.342517549999998,2.2908,2.2908000000000004,2.418638716666664,4.89977851666666,4.899778516666659,4.556211616666659,4.556211616666658,0.7707475267123399,2.9973267600456657,0.41748245000000067,0.41748245000000067,0.4174824500000006,0.12319036666666543,0.2863312833333347,0.09966248333333283,0.0,0.023527883333332587,2.25177519223744,1.928164767808228,1.9281647678082283,1.8158384000000005,1.6008,1.6008000000000002,1.9596000000000002,1.9216847678082263,2.034011135616454,0.8033286566209873,0.0,0.11232636780822766,0.11232636780822766,-0.0,0.0,-0.0,-0.0,-0.0,2.7599999999999993,8.08,6.409256253424685,0.0,0.0,0.0,0.0,0.0,0.0,0.2
