experiment,t_b0756,t_b0688,t_b4025,t_b3916,t_b1723,t_b4232,t_b2925,t_b3919,t_b1779,t_b2926,t_b0755,t_b2779,t_b1854,t_b1676,t_b1702,t_b1852,t_b0767,t_b2029,t_b3386,t_b2914,t_b2935,t_b2465,t_b2464,t_b0008,t_b1850,t_b0114,t_b0115,t_b0116,t_b3403,t_b3956,t_b0720,t_b1276,t_b0118,t_b1136,t_b0726,t_b0727,t_b0728,t_b0729,t_b0723,t_b0724,t_b4154,t_b1612,t_b4122,t_b1611,t_b3236,t_b4015,t_b4014,t_b2976,t_b4069,t_b0333,t_b1380,t_b3605,t_b0902,t_b0903,t_b1241,t_b2297,t_b2296,t_b0474,t_b2415,t_b2416
REF,2.204765645,1.264543102,2.168,0.119014085,1.676056338,1.206666667,31.16458477,17.01764793,123.2691658,16.80529209,23.26530612,44.02584602,4.945771755,13.32571113,3.682735747,1.369740055,4.1864052,6.56552903,4.056365562,1.344444444,2.703448276,8.967320619,7.403460557,4.814285714,14.58445521,21.27061845,10.45449044,58.79103535,21.46102644,5.491510367,52.90013537,0.544041451,5.372222222,81.08049042,4.863887302,24.08488787,33.82214384,12.35853175,10.47778709,43.33208816,3.516643424,3.582148958,0.380999917,8.754382143,11.93679067,523.9678465,131.3999403,5.889076633,10.98565761,0.729090909,6.2132202,2.045497098,0.833215147,5.423529412,1.43560082,0.247933884,22.33772234,2.454846095,328.9834412,7.929265914
WT_0.1h-1,0.434668761,0.529463169,1.4,0.0,0.117042254,0.660666667,22.32610417,1.234613673,48.40706968,7.952721436,26.12244898,29.13152995,2.063983488,12.51749492,1.589752387,0.0,2.891924645,3.807229852,1.291032011,0.826666667,4.220689655,5.311939542,2.798732438,3.5,11.26368695,25.4846089,6.808278867,49.12405303,8.819140553,3.997496517,58.73164636,0.0,4.727777778,51.57680792,3.902531887,42.26216173,14.93006064,5.977768076,8.847909099,17.18341427,2.607166677,2.75294781,0.0326096,7.783873715,0.0,507.1335382,126.5885788,3.888778451,5.478958027,0.080181818,3.147666621,0.751263808,0.475109913,8.647058824,1.154722398,0.094008264,13.37491337,0.644450098,151.3323829,3.39825682
WT_0.4h-1,0.476564546,0.322132931,0.904,0.0,0.278873239,0.72,24.16532557,1.015868308,88.93391872,6.153023007,25.30612245,24.5318147,2.901259809,6.721993337,1.280951564,0.0,0.977745951,0.0,0.484646086,0.48,0.827586207,3.737524472,4.122381446,5.214285714,5.699156345,13.44463619,7.973251029,56.0290404,6.823935751,3.189921463,43.94460065,0.0,4.077777778,58.3517276,4.635446412,34.08238849,8.383059938,5.709104342,6.178013722,18.7523347,2.137270357,3.996749532,0.048748024,3.089781933,0.0,298.8089727,80.79769055,4.112414273,2.871251422,0.150909091,3.311892706,0.589777195,0.199617076,6.176470588,1.258751443,0.034917355,20.65142065,1.810395998,208.3561794,4.798464491
WT_0.5h-1,0.667714061,0.885865561,1.256,0.0,0.133239437,1.053333333,27.33287353,1.512679816,147.7541371,10.04426285,27.75510204,41.17840324,4.225324688,15.84892271,0.711385601,0.0,0.94194117,11.28571706,1.714588254,1.133333333,2.317241379,4.504196158,5.412378362,8.914285714,13.05869682,34.0129229,9.319777294,43.60006313,3.537716077,5.229048475,37.48828491,0.0,2.816666667,46.33170881,6.624785837,30.2197178,9.953373759,7.388252678,7.544006706,15.80127008,2.501061056,3.449476774,0.020464188,1.124997524,0.0,155.5069231,57.57042838,1.975449756,0.291286376,0.316363636,1.915970987,1.036790863,0.574386612,10.17647059,1.674867623,0.050413223,22.89212289,3.167133045,266.4765873,4.546741764
WT_0.7h-1,1.107619796,0.486626343,2.472,0.0,0.649295775,1.346666667,50.32314098,2.339463147,208.5444107,13.64365971,27.95918367,75.34771657,2.609186674,23.26085671,1.155143821,0.0,0.906136389,13.11163342,1.572045288,0.84,4.04137931,6.256588585,9.731063687,9.342857143,10.94956022,26.38760685,10.95376422,52.67518939,1.143470315,16.35339484,24.15911694,0.0,3.166666667,67.96774264,5.377879307,32.49187703,11.64448095,10.51146858,13.48918071,6.462457975,0.61238101,2.686611718,0.156226603,1.952900632,0.0,73.01881234,51.59770382,0.905725077,0.0,0.237272727,3.120295607,2.031454784,1.333144235,8.0,6.148116554,0.097520661,25.17902518,5.89332655,348.7224476,8.055127277
galM,0.04268133,0.54145748,1.032,0.0,0.466197183,0.953333333,46.23598232,16.64689307,94.84408421,12.01420303,10.75510204,28.25539371,2.570243589,5.677226044,1.887116143,0.574465029,2.500826264,1.526776869,1.763460129,0.522222222,1.124137931,6.201826321,4.346728736,1.785714286,5.20552863,19.06329012,10.0308642,51.49147727,19.78438375,4.784882195,45.19421014,0.0,4.805555556,81.73612781,0.0,15.76878508,10.55734061,4.936696108,4.392909255,11.50541651,2.122112411,2.520771489,0.643873222,6.932203054,10.63796889,563.9493287,111.1590404,4.708776464,6.00604766,0.19,7.718625975,1.041471635,0.247128067,7.235294118,2.486294173,0.084090909,27.25802726,5.89332655,239.0613006,8.228186652
glk,5.970149254,2.364592793,5.44,0.0,0.521126761,2.293333333,31.93092702,15.68293045,129.1793313,24.1013668,20.81632653,72.50027379,11.70239695,25.62636756,5.604163093,2.5671406,3.552935992,8.605116451,4.602101491,2.688888889,6.213793103,16.428679,8.693457472,6.671428571,26.43152037,23.47794678,13.72246429,82.46527778,32.35920393,7.823383336,40.61230865,0.0,6.222222222,163.035164,0.0,33.1735248,125.6251057,32.23964805,10.67958151,65.37168472,8.00339538,9.950413771,0.392646202,12.65622215,0.0,305.1218383,145.0044795,14.66057052,17.61589037,2.454545455,11.76953606,5.195656244,1.776343781,4.929411765,1.747687954,0.411157025,37.42203742,1.314339015,462.7700406,5.726692049
pgm,7.357947107,0.0,3.72,0.0,1.802816901,2.286666667,59.51924796,43.0075634,235.8437465,26.26586896,16.12244898,107.1076552,8.995852561,18.62839796,6.976611197,2.962085308,4.048694503,17.13253433,5.90535147,1.348888889,2.255172414,64.48256506,10.15171485,8.128571429,34.41931431,32.40759321,16.33986928,67.86616162,16.59876264,14.23351033,21.8681662,0.0,3.444444444,87.19977271,0.0,29.76528595,80.44838499,18.30271686,13.95486014,42.95853567,10.56508822,2.91878804,0.174694285,13.32963616,0.0,256.7232019,107.343133,9.70330981,17.06105917,1.881818182,12.8096346,4.891406104,1.404056162,7.058823529,2.860798735,0.537190083,42.04204204,0.886118884,500.0548306,4.546741764
pgi,4.556166536,1.516423639,0.1328,0.0,2.802816901,2.133333333,44.95874524,32.36689901,148.0355736,34.29155115,15.02040816,91.55623699,5.004186382,14.92243096,6.061645794,1.992675571,4.461826595,15.85050795,3.697971817,1.011111111,3.337931034,53.80392372,10.54432261,5.871428571,30.06641537,25.68527511,13.45013314,68.85258838,6.01914726,17.1609699,24.78392169,0.0,2.583333333,181.8301025,0.0,24.53931972,71.99284903,23.64240857,12.69752569,41.83787822,2.061480628,4.378182059,0.199650611,9.348570976,0.0,404.0233997,220.6589906,4.808170162,6.75506977,0.560909091,9.55248392,4.282905823,2.637923699,3.458823529,0.829111488,0.305785124,50.58905059,1.496650555,620.6820923,7.441553129
pfkA,3.587326525,1.850550882,2.464,0.0,30.56338028,1.666666667,47.00232457,28.21444461,160.9816503,23.78520356,13.08163265,106.4505531,6.795568277,19.71259043,4.380396866,1.90291541,9.4194117,17.17138362,7.575140507,1.708888889,4.324137931,44.22052763,8.581283827,5.471428571,24.90576198,28.29393587,17.70152505,72.00915404,14.28499572,14.9401385,21.8681662,0.0,2.877777778,106.6503486,0.0,23.17602418,54.11543015,18.30271686,10.67958151,23.94471423,5.15370157,4.743030564,0.147242326,9.091089148,0.0,237.784605,134.2203935,9.442401352,11.55435959,2.272727273,11.76953606,3.112712975,0.900581478,5.047058824,1.061096258,0.260330579,50.12705013,1.030272195,569.1413532,5.663761367
pfkB,2.932704897,2.998577817,4.584,0.0,0.0,2.006666667,41.89337625,18.05576153,131.7122594,24.80665402,15.20408163,99.66049721,8.294877037,12.3597942,7.628524046,1.849059314,6.086812824,13.42242769,4.113382748,2.444444444,4.303448276,24.91682981,7.964328781,6.9,28.09190451,24.58161095,17.85282014,68.65530303,27.49694013,9.075124669,28.11621368,0.0,3.811111111,108.1801692,0.0,24.76653564,110.405141,33.31430299,11.3936233,63.5039223,5.62359789,6.384848837,0.105482073,14.33975717,0.0,475.5692101,182.499917,10.82148892,16.36752018,1.463636364,12.20747229,2.948885976,1.974897178,4.947058824,1.341974679,0.280991736,35.11203511,1.055711015,475.9293782,5.207513923
fbp,1.005498822,1.423896095,1.8,0.0,1.887323944,0.0,23.04135694,15.83123239,90.05966453,16.63505034,37.14285714,53.66334465,6.892925989,6.84026888,2.767770344,2.72870889,4.241489479,6.177036188,1.893785127,2.4,0.924137931,10.58280739,16.2651785,7.642857143,20.14898582,10.1336437,7.867344469,33.14393939,36.55081066,6.69277826,39.15443091,0.0,3.766666667,76.4910287,0.0,16.04144418,53.63225666,19.94828223,9.810313247,29.473291,5.350754866,6.368264814,0.464187672,13.11176692,0.0,452.4220361,151.4749311,2.733326707,5.076705412,0.650909091,4.598330368,3.721213256,2.563466175,3.711764706,1.612450196,0.324380165,15.63871564,2.043585178,246.7375809,8.275384664
fbaB,3.142183818,1.953359264,2.528,0.0,2.507042254,0.76,32.44182185,27.36170844,122.4248565,25.04985651,37.75510204,95.27981601,7.243413751,10.97991287,3.877165895,3.195461726,5.2330065,9.323828208,5.25372648,1.386666667,3.268965517,14.92271676,16.74191649,9.8,22.57224915,13.14363687,9.924957637,42.61363636,47.61665242,9.670711272,41.02884515,0.0,2.788888889,83.70303997,0.0,13.61023381,40.82815935,15.17950096,12.32498215,52.67090026,5.562966107,3.167548384,0.34273355,7.328328943,0.0,662.8508901,215.6817201,4.013020574,5.312508669,0.890909091,11.33159984,4.704175248,0.808395972,5.052941176,2.163804134,0.440082645,22.4994225,3.141694225,281.8291479,14.93030427
gapC,2.775595706,1.333082024,1.88,0.0,1.647887324,1.6,31.16458477,20.94764941,148.31701,16.44048835,34.28571429,70.74800131,6.834511362,0.0,6.187453537,3.931495045,4.902500826,7.517336493,6.964242079,0.0,3.144827586,5.68158482,20.16321265,8.942857143,27.19439957,10.43464301,6.354393609,49.71590909,1.646463122,9.226544992,45.61074664,0.0,4.394444444,88.0739559,0.0,21.17652405,83.10583915,21.05652013,12.23184626,55.28576765,6.032862426,7.495978374,0.938357874,22.38111272,0.0,462.9434788,285.3635067,5.205744956,5.908952201,1.136363636,7.800739017,3.112712975,1.127499645,4.676470588,2.361459319,0.491735537,18.06421806,3.896379208,167.781555,10.13183978
gpmA,2.06598586,0.813899693,3.76,0.0,0.266197183,1.04,19.51618259,37.8169954,138.1852978,7.393355708,0.571428571,37.23579017,3.037560605,2.444361214,2.996511694,1.38948729,2.192354302,8.177774325,5.009367109,0.144444444,1.089655172,12.86913188,7.0108528,3.042857143,16.64871657,17.056628,12.60288066,28.40909091,8.299381319,6.975429529,50.40091638,0.740932642,7.666666667,67.53065105,0.0,15.92783622,14.15698306,7.354669712,19.86898885,31.82667165,3.925907961,2.553939535,0.079693869,6.654914932,14.10149365,456.6306132,97.55450111,4.162111122,7.018614587,0.668181818,7.362802792,2.101666355,0.808395972,3.835294118,0.868642525,0.347107438,6.237006237,0.924277114,427.6784735,8.228186652
gpmB,1.235925635,0.73336646,3.504,0.0,0.408450704,1.446666667,22.99026745,44.11982797,124.3949116,6.104382509,30.20408163,35.04544957,3.193332944,2.799187841,3.865728827,1.197400546,1.908670266,7.828130767,3.510629633,0.195555556,1.965517241,10.36375833,4.262598502,3.171428571,15.48196015,16.9562949,11.31687243,58.79103535,9.372432641,8.065655852,59.35645111,0.569948187,12.22222222,73.86847914,0.0,28.40199041,17.80494286,8.933069147,26.07804787,28.42734404,3.016431213,3.797741256,0.086016138,5.862663154,4.576800569,521.8635579,113.3158576,6.19968194,10.84694982,0.618181818,5.966881073,2.69144355,0.404197986,4.1,0.845756135,0.376033058,5.775005775,1.695921309,483.6056585,7.81913722
pykA,1.186174391,0.438649098,1.056,0.0,0.502816901,0.913333333,45.72508749,16.16491176,90.90397388,10.94411207,10.65306122,27.37925747,0.0,6.308028938,1.852804941,0.743214132,2.412691418,1.94246421,2.032255437,0.533333333,1.15862069,7.461358378,4.178468269,1.971428571,4.891401903,13.6453024,8.92641007,44.19191919,12.72571802,3.694655872,40.8205769,0.0,4.433333333,75.61684551,0.0,14.42821113,9.470200275,5.507606542,4.439477197,13.85879716,1.80379555,2.288595167,0.524082855,5.743825388,9.80301203,456.6306132,92.74313966,3.851505815,5.215413211,0.17,7.116463665,1.132746677,0.325131187,6.764705882,3.162482965,0.06322314,28.41302841,6.444500975,276.3460906,9.376671596
pykF,1.125949201,0.538030534,1.256,0.0,0.556338028,0.973333333,48.27956165,17.42547827,94.84408421,12.57356875,11.83673469,29.13152995,2.979145978,0.118078417,1.967175616,0.687562832,2.646799603,1.732678075,1.861203877,0.382222222,1.44137931,8.789343264,4.178468269,2.028571429,6.506910788,16.65529558,9.516460905,46.16477273,12.45745519,3.048595829,40.8205769,0.0,4.627777778,76.92812029,0.0,14.92808616,11.0405141,4.735198307,4.346341312,13.07433694,1.80379555,2.0232508,0.788619915,6.159757571,8.998979497,511.3421152,102.6976806,3.752112116,5.159930091,0.224545455,6.924866566,1.219340947,0.300312012,6.705882353,2.569517409,0.051033058,27.72002772,6.444500975,230.2884088,8.8417608
