glucose_uptake,oxygen_uptake,ammonia_uptake,phosphate_uptake,Biomass_Ecoli_core_flux
3.81,23.77,5.88,3.63,0.30651672690652987
1.64,3.98,0.56,5.21,0.08105765704092115
6.05,17.73,0.26,5.82,0.04768192488263071
8.34,5.39,1.54,1.18,0.28242370892018787
3.11,13.17,3.51,1.82,0.2423514044439579
6.16,3.57,2.41,2.26,0.22320971190689917
4.62,19.65,1.68,3.13,0.30809859154929653
5.96,1.26,4.9,1.11,0.13396459325214963
0.74,23.73,7.73,4.87,0.02421904211563977
3.12,2.53,5.51,2.7,0.09272375767360852
1.31,12.43,0.37,5.46,0.0678550469483568
2.66,16.6,2.56,3.17,0.20110226857516084
5.51,4.7,7.76,4.67,0.24090845451647858
9.4,22.38,4.82,5.54,0.8189226591433681
0.98,4.98,0.46,2.02,0.04652605459057073
3.95,6.86,6.65,2.2,0.2532222841731482
2.88,13.61,1.21,4.83,0.22126851277768378
0.84,24.67,6.2,1.27,0.033513630646860956
7.74,1.94,2.93,0.78,0.21203142414439108
8.64,15.62,2.71,0.47,0.12776252480495834
3.18,8.2,5.86,3.86,0.24863122744962204
8.88,11.86,1.04,4.31,0.1907276995305184
7.63,14.08,6.19,3.01,0.5879103193181976
5.28,10.75,0.3,0.74,0.05501760563380369
9.08,6.31,3.34,4.56,0.4092410706669314
2.37,2.02,2.39,1.05,0.051777986177552464
9.3,20.22,5.1,5.24,0.8055264080133326
8.06,4.75,7.15,3.28,0.3235585514988364
8.09,22.41,2.61,0.75,0.20387636936961706
2.36,10.73,6.56,5.18,0.1736028446626291
1.29,8.51,7.55,2.01,0.07533927903735686
5.24,17.61,2.97,5.83,0.43759731422293124
9.63,6.37,4.03,1.88,0.4290640235340704
2.92,1.02,4.92,3.07,0.03272967119140984
0.61,7.04,7.28,1.51,0.01213607702505191
1.53,12.29,7.89,1.53,0.09752110517129216
6.75,19.06,1.98,4.4,0.3631161971830988
3.74,15.84,5.1,3.26,0.300100194660273
0.99,20.9,2.63,1.2,0.04745551344369292
0.5,14.81,5.45,0.2,0.0019120296407084264
5.17,5.74,5.2,1.13,0.2636561053476208
6.94,9.73,7.5,0.91,0.24736999483513158
3.48,2.93,7.41,5.28,0.11742120714741996
2.65,16.53,6.56,3.38,0.20018562111140958
5.34,6.12,0.84,5.39,0.15404929577464815
9.01,15.86,2.78,2.16,0.5098298122065729
7.29,22.44,7.11,4.7,0.6255100442918968
6.46,2.2,1.38,5.4,0.18303140996211495
6.1,0.33,0.9,4.01,0.10475156185880155
6.55,5.68,5.73,1.5,0.3065516754863459
3.32,18.69,5.23,5.11,0.26160100118273
6.61,14.25,0.84,2.27,0.15404929577464815
2.73,6.18,7.79,2.42,0.18160179928614173
8.93,15.82,6.38,3.07,0.6875362502187135
5.81,12.36,1.64,4.36,0.3007629107981236
2.88,0.71,5.2,1.14,0.02035220670531856
9.41,23.85,7.33,2.28,0.6197841628836243
9.64,21.34,2.43,2.37,0.44564260563380304
8.53,7.99,1.44,3.39,0.26408450704225356
9.37,17.43,4.6,0.67,0.1821295566368592
6.19,24.75,1.21,3.16,0.2219043427230046
8.79,18.55,5.61,4.24,0.7437766950819066
3.66,7.41,6.49,4.88,0.2525336256646197
8.68,22.84,4.14,3.06,0.7529240417532926
8.0,16.28,5.65,4.8,0.6553988531540308
8.91,8.52,3.07,0.65,0.1766928534536641
5.82,0.99,3.78,3.3,0.11998110429135238
2.94,14.81,0.34,0.32,0.06235328638497659
8.24,9.07,1.1,3.18,0.20173122065727705
7.72,5.47,5.02,0.6,0.1631010954956919
0.61,13.33,4.37,3.86,0.012136077025051832
7.29,24.4,4.18,2.01,0.5463886699105677
7.97,6.84,3.57,0.56,0.15222768912931273
4.15,4.42,1.34,1.58,0.1876139582835164
5.54,17.89,5.32,1.75,0.4650967381354625
9.55,18.47,4.48,3.71,0.7768323034912946
4.25,6.27,2.91,4.57,0.2509824141702702
8.57,17.62,3.85,0.68,0.18484790822845076
4.97,11.89,1.47,2.66,0.2695862676056337
4.05,15.43,5.12,0.37,0.10057900888900857
3.81,15.68,4.07,5.15,0.30651672690653153
6.62,4.16,0.66,3.89,0.12103873239436683
3.94,16.12,3.72,3.32,0.318433143935295
9.42,9.71,7.69,5.44,0.530778519393321
2.04,1.83,0.9,0.21,0.034879731274418194
1.03,17.11,0.66,1.98,0.051173348856181446
8.46,0.68,6.53,1.76,0.1892339872437359
1.27,17.45,5.07,5.28,0.07348036133111265
7.38,20.11,2.33,1.15,0.31261043303341113
7.53,20.19,7.92,2.53,0.6475095834219214
3.78,19.43,2.79,5.59,0.30376678451527844
8.6,10.78,6.03,4.55,0.5389026804044426
1.12,22.57,4.09,4.98,0.05953847853428073
3.27,22.4,3.17,0.16,0.043493625465517376
9.06,2.37,2.62,5.71,0.2683445376615518
9.51,14.38,5.09,2.75,0.6811087708057763
