glucose_uptake,oxygen_uptake,ammonia_uptake,phosphate_uptake,EX_nh4_e_flux,EX_pi_e_flux,Biomass_Ecoli_core_flux
3.81,23.77,3.69,3.03,-1.6713744084759259,-1.12758308327105,0.30651672690652987
1.64,3.98,0.38,4.34,-0.38,-0.2563648034037513,0.06968896713615022
6.05,17.73,0.2,4.85,-0.2,-0.13492884389671364,0.03667840375586856
8.34,5.39,0.99,1.0,-0.99,-0.6678977772887277,0.18155809859154934
3.11,13.17,2.22,1.53,-1.3214937381520138,-0.8915381115279907,0.242351404443958
6.16,3.57,1.53,1.9,-1.21711791708594,-0.8211215671919162,0.22320971190689928
4.62,19.65,1.08,2.62,-1.08,-0.7286157570422419,0.1980633802816906
5.96,1.26,3.08,0.94,-0.7304821340853227,-0.49281554919667114,0.13396459325214988
0.74,23.73,4.83,4.06,-0.13206159284816113,-0.08909459023080535,0.02421904211563977
3.12,2.53,3.45,2.26,-0.5056041058426517,-0.34110288735390254,0.09272375767360838
1.31,12.43,0.27,4.56,-0.27,-0.18215393926056025,0.04951584507042254
2.66,16.6,1.63,2.65,-1.0965704500866371,-0.739794915407445,0.20110226857516086
5.51,4.7,4.85,3.9,-1.313625620787455,-0.8862299316297507,0.2409084545164788
9.4,22.38,3.03,4.62,-3.03,-2.0441719850351614,0.5556778169014085
0.98,4.98,0.32,1.69,-0.25369727047146406,-0.17115539702233354,0.04652605459057074
3.95,6.86,4.16,1.85,-1.380770471139342,-0.9315288167877641,0.2532222841731482
2.88,13.61,0.79,4.03,-0.79,-0.532968933392014,0.14487969483568108
0.84,24.67,3.88,1.07,-0.18274312519120317,-0.12328659306060766,0.033513630646860915
7.74,1.94,1.86,0.67,-0.9931160464293993,-0.67,0.18212955663684685
8.64,15.62,1.72,0.41,-0.6077277299045809,-0.41,0.11145241525538828
3.18,8.2,3.68,3.22,-1.3557363570372984,-0.9146396964189201,0.2486312274496221
8.88,11.86,0.69,3.59,-0.69,-0.46550451144367233,0.12654049295774922
7.63,14.08,3.88,2.52,-3.2057573891782662,-2.1627456916758536,0.5879103193181975
5.28,10.75,0.22,0.63,-0.22,-0.14842172828638286,0.04034624413145663
9.08,6.31,2.11,3.8,-2.11,-1.4234993031103305,0.38695715962441324
2.37,2.02,1.52,0.89,-0.2823350030289584,-0.1904756777513634,0.051777986177552394
9.3,20.22,3.2,4.37,-3.2,-2.1588615023474005,0.5868544600938964
8.06,4.75,4.47,2.74,-1.764300069612852,-1.1902748433987669,0.3235585514988359
8.09,22.41,1.66,0.64,-0.9486481637535195,-0.64,0.1739745018620744
2.36,10.73,4.11,4.32,-0.9466215913763831,-0.6386327846604138,0.17360284466262882
1.29,8.51,4.72,1.68,-0.410810020734899,-0.277150605794734,0.07533927903735686
5.24,17.61,1.88,4.86,-1.88,-1.2683311326291038,0.3447769953051645
9.63,6.37,2.54,1.57,-2.3271525267078133,-1.57,0.42678119988039437
2.92,1.02,3.09,2.56,-0.17846835107251965,-0.12040264141184111,0.03272967119140987
0.61,7.04,4.55,1.27,-0.06617560080220287,-0.04464498655205702,0.01213607702505192
1.53,12.29,4.93,1.29,-0.5317630822780217,-0.35875088959363516,0.09752110517129216
6.75,19.06,1.26,3.67,-1.26,-0.8500517165492759,0.231073943661972
3.74,15.84,3.2,2.73,-1.6363863414435424,-1.1039785860967488,0.3001001946602741
0.99,20.9,1.67,1.01,-0.25876542370576866,-0.17457459730530622,0.04745551344369292
0.5,14.81,3.42,0.18,-0.010425915224854905,-0.007033783439273752,0.0019120296407084264
5.17,5.74,3.26,0.95,-1.4081496180716042,-0.95,0.2582434012015122
6.94,9.73,4.69,0.77,-1.141342322015936,-0.77,0.20931307255280518
3.48,2.93,4.63,4.4,-0.6402743583334541,-0.43195739473321754,0.1174212071474202
2.65,16.53,4.1,2.82,-1.091572154796294,-0.7364228443825516,0.20018562111140958
5.34,6.12,0.56,4.5,-0.56,-0.3778007629108207,0.10269953051643177
9.01,15.86,1.76,1.81,-1.76,-1.1873738262910896,0.3227699530516434
7.29,22.44,4.45,3.92,-3.410781169514851,-2.3010637999366197,0.6255100442918964
6.46,2.2,0.89,4.5,-0.89,-0.6004333553403853,0.16321889671361564
6.1,0.33,0.6,3.35,-0.5711893165036737,-0.3853495706099749,0.10475156185880168
6.55,5.68,3.59,1.26,-1.671564976091946,-1.127711648611632,0.3065516754863459
3.32,18.69,3.28,4.26,-1.4264579392491892,-0.9623516030509176,0.2616010011827298
6.61,14.25,0.56,1.9,-0.56,-0.37780076291076853,0.10269953051643207
2.73,6.18,4.87,2.03,-0.9902382911474737,-0.6680585390339341,0.18160179928614173
8.93,15.82,3.99,2.56,-3.748997665192596,-2.52923960367958,0.6875362502187135
5.81,12.36,1.06,3.64,-1.06,-0.7151228726525773,0.19439553990610434
2.88,0.71,3.26,0.97,-0.11097651272276192,-0.07486966280684719,0.020352206705318468
9.41,23.85,4.58,1.91,-2.831121863701849,-1.91,0.5192051539946173
9.64,21.34,1.54,1.99,-1.54,-1.0389520980046971,0.28242370892018787
8.53,7.99,0.93,2.83,-0.93,-0.6274191241197202,0.17055457746478878
9.37,17.43,2.89,0.58,-2.89,-0.58,0.15766439231250182
6.19,24.75,0.79,2.64,-0.79,-0.5329689333920182,0.14487969483568067
8.79,18.55,3.52,3.54,-3.52,-2.374747652582154,0.6455399061032865
3.66,7.41,4.07,4.07,-1.3770153540240355,-0.9289954487324339,0.2525336256646193
8.68,22.84,2.61,2.56,-2.61,-1.7608214128521449,0.4786531690140864
8.0,16.28,3.54,4.0,-3.54,-2.3882405369718396,0.6492077464788735
8.91,8.52,1.94,0.56,-1.94,-0.56,0.15222768912930945
5.82,0.99,2.38,2.76,-0.6542329654798915,-0.4413744883566008,0.11998110429135339
2.94,14.81,0.25,0.28,-0.25,-0.16866105487088226,0.045848004694835735
8.24,9.07,0.72,2.66,-0.72,-0.4857438380281701,0.13204225352112678
7.72,5.47,3.15,0.52,-3.15,-0.52,0.14135428276293407
0.61,13.33,2.75,3.22,-0.06617560080220264,-0.04464498655205675,0.012136077025051992
7.29,24.4,2.63,1.68,-2.49020142985295,-1.68,0.45668306738793835
7.97,6.84,2.25,0.48,-2.25,-0.48,0.13048087639655487
4.15,4.42,0.87,1.33,-0.87,-0.5869404709506999,0.15955105633802824
5.54,17.89,3.33,1.47,-2.1789262511213283,-1.47,0.3995976839644456
9.55,18.47,2.82,3.1,-2.82,-1.9024966989436567,0.5171654929577465
4.25,6.27,1.84,3.81,-1.3685569079876407,-0.9232890070081702,0.2509824141702687
8.57,17.62,2.42,0.58,-0.8597123984016032,-0.58,0.15766439231250068
4.97,11.89,0.95,2.23,-0.95,-0.6409120085093934,0.17422241784037557
4.05,15.43,3.21,0.32,-1.6004681001440721,-0.32,0.08698725093103553
3.81,15.68,2.57,4.3,-1.6713744084759328,-1.1275830832710612,0.30651672690652976
6.62,4.16,0.45,3.25,-0.45,-0.30358989876764303,0.08252640845070512
3.94,16.12,2.35,2.77,-1.7363522472503763,-1.1714200065947633,0.31843314393529504
9.42,9.71,4.81,4.54,-2.894229110547897,-1.9525749392921632,0.5307785193933207
2.04,1.83,0.59,0.19,-0.1901921986931475,-0.1283120674392033,0.034879731274418194
1.03,17.11,0.45,1.66,-0.27903803664298565,-0.18825139843722388,0.05117334885618135
8.46,0.68,4.09,1.48,-1.031855085642639,-0.6961350688735061,0.1892339872437351
1.27,17.45,3.18,4.4,-0.40067371426629067,-0.270312205228767,0.07348036133111284
7.38,20.11,1.48,0.97,-1.48,-0.97,0.263680104384704
7.53,20.19,4.95,2.12,-3.1423970424334726,-2.12,0.5762905374181105
3.78,19.43,1.77,4.66,-1.6563795226049085,-1.1174668701963515,0.3037667845152783
8.6,10.78,3.78,3.8,-2.9385285357093407,-1.9824612904038275,0.538902680404442
1.12,22.57,2.58,4.15,-0.3246514157517254,-0.21902420098405337,0.05953847853428073
3.27,22.4,2.01,0.15,-0.22233941337972513,-0.15,0.04077527387392261
9.06,2.37,1.66,4.76,-1.4632290949609084,-0.98715905069555,0.2683445376615514
9.51,14.38,3.2,2.3,-3.2,-2.158861502347398,0.5868544600938964
3.0,8.28,3.4,3.79,-1.2665124899582547,-0.8544453302540757,0.23226828234269636
7.94,19.76,0.55,2.52,-0.55,-0.3710543207159165,0.10086561032863801
0.67,13.78,2.26,4.45,-0.09658452020802905,-0.06516018824994087,0.017712830143784723
3.57,3.01,0.8,3.83,-0.6703979674432378,-0.4522801134891068,0.12294563663498359
6.22,2.62,0.51,3.53,-0.51,-0.3440685519366217,0.09352992957746482
0.82,20.56,3.56,0.5,-0.17260681872259367,-0.11644819249464565,0.03165471294061652
0.94,24.67,1.93,1.92,-0.23342465753424688,-0.15747859589040644,0.042808219178082266
8.15,23.69,4.93,3.79,-3.8406345644842395,-2.591061908078091,0.7043417261744865
3.82,2.18,3.91,2.84,-0.555637505877217,-0.37485763146832723,0.10189948391234178
4.3,22.67,0.64,2.51,-0.64,-0.4317723004694859,0.11737089201877951
1.26,16.27,3.76,2.96,-0.39560556103198624,-0.2668930049457834,0.07255090247799047
9.63,9.43,1.5,4.36,-1.5,-1.0119663292253473,0.27508802816901406
2.31,24.08,0.16,4.85,-0.16,-0.10794307511737232,0.029342723004694846
0.53,22.29,2.69,4.97,-0.02563037492776891,-0.017291384288215784,0.004700406200074858
0.83,13.89,4.85,2.66,-0.17767497195689855,-0.11986739277762587,0.032584171793738737
6.33,17.42,2.33,3.18,-2.33,-1.571921031396719,0.42730340375586884
5.88,22.54,0.32,1.48,-0.32,-0.21588615023474922,0.05868544600938969
9.51,22.27,2.33,3.14,-2.33,-1.5719210313967122,0.42730340375586867
2.85,4.78,2.37,1.83,-0.8450404293556252,-0.5701016408946837,0.15497367028969067
5.88,2.04,4.87,4.93,-0.8702974412707213,-0.5871411379846311,0.1596056046931362
7.01,13.45,1.62,4.09,-1.62,-1.0929236355633614,0.2970950704225351
6.88,4.15,4.56,4.13,-1.4505460649354454,-0.9786025178033373,0.26601857118094296
9.5,18.17,3.11,2.15,-3.11,-2.09814352259387,0.5703491784037559
9.33,21.66,0.32,0.23,-0.32,-0.21588615023476077,0.058685446009390255
3.83,20.28,4.94,0.84,-1.2451007149264712,-0.84,0.22834153369396887
5.98,9.58,4.85,4.23,-2.229426939198595,-1.5040699972912883,0.40885910710068163
8.4,11.77,2.13,1.44,-2.13,-1.436992187499993,0.39062499999999906
0.66,21.63,4.08,5.0,-0.09151636697372338,-0.061740987966959426,0.016783371290662444
9.97,13.93,3.87,4.73,-3.7394621426283123,-2.5228065185018074,0.6857875114855329
8.51,6.26,2.31,0.73,-1.0820518117813323,-0.73,0.198439666186424
9.55,15.19,1.22,3.39,-1.22,-0.8230659477699716,0.2237382629107981
6.22,9.02,0.66,3.39,-0.66,-0.4452651848591611,0.12103873239436624
