name,d_model,n_heads,n_layers,d_ff,n_params,best_epoch,best_val_loss,epochs_ran,elapsed_sec,biomass_r2,biomass_mae,biomass_rmse,overall_r2,overall_mae,overall_rmse
d128_h8_l3_ff1024,128,8,3,1024,1007905,78,0.18118143857361177,88,41554.74039387703,0.9973118305206299,0.02016032300889492,0.02699808031320572,0.9880283030443896,0.25880249198113137,1.2844425040253664
d128_h8_l3_ff640,128,8,3,640,709537,99,0.18175672401228551,100,42335.92338037491,0.9974609613418579,0.019131936132907867,0.026238473132252693,0.9879289749642371,0.2604834900754357,1.2897599485029874
d256_h8_l3_ff1024,256,8,3,1024,2399777,60,0.1817063435985451,70,53525.80913567543,0.9983283281326294,0.016061674803495407,0.021290116012096405,0.9878967783446352,0.2616015499270151,1.2914788686872534
d256_h8_l3_ff640,256,8,3,640,1806497,66,0.18153647358232125,76,43950.33570384979,0.9974270462989807,0.02037341333925724,0.026413235813379288,0.9878779752231971,0.25765679930308993,1.2924816764682932
d64_h8_l3_ff640,64,8,3,640,308513,94,0.18575379984488222,100,31827.151992321014,0.9956623911857605,0.02541579306125641,0.03429499268531799,0.9878396217194882,0.27184123343074484,1.2945247366569654
d256_h8_l4_ff1024,256,8,4,1024,3191596,51,0.18009218956833056,61,57303.5426762104,0.9989004731178284,0.012179230339825153,0.01726679503917694,0.9878296516970418,0.25464715584794484,1.2950553038828554
d256_h4_l2_ff640,256,4,2,640,1212430,99,0.20275045029497055,100,40865.2286965847,0.995183527469635,0.023677892982959747,0.03613849729299545,0.987456022214605,0.30467448818889564,1.314784117672209
d128_h8_l2_ff640,128,8,2,640,477078,96,0.20850787275516736,100,24980.327292203903,0.9894751906394958,0.03035641647875309,0.05342111736536026,0.9866148636570511,0.31073735631069505,1.3581514786738764
d128_h4_l2_ff640,128,4,2,640,477070,99,0.21560871346449684,100,21098.09926223755,0.9898371696472168,0.031036319211125374,0.05249455198645592,0.9865134594303728,0.32332394510894163,1.3632863700293827
d64_h4_l2_ff640,64,4,2,640,207694,100,0.2422874013357971,100,14820.303795814514,0.9823178648948669,0.04297713190317154,0.0692426785826683,0.9845878671947371,0.36558738467983165,1.4573644870302422
d64_h8_l2_ff640,64,8,2,640,207702,100,0.2448621223943867,100,19173.036381959915,0.9874448776245117,0.03207935392856598,0.05834673345088959,0.9833942078763812,0.3649328167416713,1.512748077344442
d32_h4_l2_ff640,32,4,2,640,97582,99,0.3098531874289856,100,11356.49238395691,0.9714244604110718,0.0584070086479187,0.08802445977926254,0.973446146623578,0.45307593797965195,1.912936648534988
